target;fixation;entropy
aaaaaah;2.0;0.8323499999999999
aaaargh;2.0;0.7544500000000001
aaliyah;2.0;0.7917
abaddon;2.0;0.6442499999999998
abalone;2.0;0.9049499999999998
abandon;2.0;0.2741
abdomen;2.0;0.43819999999999987
abetted;2.0;0.8566499999999999
abiding;2.0;0.5831499999999998
abigail;2.0;0.7018999999999999
abilene;2.0;0.7991999999999999
ability;2.0;0.6061999999999997
abolish;2.0;0.8501999999999998
aborted;2.0;0.40935
abraham;2.0;0.6009
abreast;2.0;0.64985
abruzzi;2.0;0.3879500000000001
abscess;2.0;1.0591000000000002
absence;2.0;1.17275
absolve;2.0;0.9987999999999998
absorbs;2.0;0.9445499999999999
abstain;2.0;0.74265
abusers;2.0;1.3723000000000003
abusing;2.0;1.6737500000000005
abusive;2.0;1.4132000000000005
abysmal;2.0;0.3247
academy;2.0;0.22785000000000002
accents;2.0;1.1008499999999999
accepts;2.0;1.0567999999999997
acclaim;2.0;1.4133
accords;2.0;0.7575999999999998
account;2.0;0.50905
accused;2.0;1.20205
accuser;2.0;0.8835
accuses;2.0;1.2215000000000003
acetate;2.0;1.2770000000000001
acetone;2.0;1.5179500000000001
aceveda;2.0;0.8050999999999998
acharya;2.0;0.9098
achieve;2.0;0.7798
achille;2.0;1.11075
achtung;2.0;0.5643999999999999
acidity;2.0;0.0475
ackroyd;2.0;0.22075
acquire;2.0;1.0447499999999998
acreage;2.0;1.19965
acrobat;2.0;1.4136500000000003
acronym;2.0;1.5502
acrylic;2.0;1.1668
actions;2.0;1.1129
actress;2.0;0.5603
acutely;2.0;0.6627499999999998
adalind;2.0;1.0502500000000001
adamant;2.0;1.23225
adamson;2.0;1.5057500000000001
adapted;2.0;0.7909499999999999
addicts;2.0;1.0558
addison;2.0;1.4589500000000004
address;2.0;0.2753
adebisi;2.0;1.50765
adelina;2.0;1.6890999999999998
adeline;2.0;1.4297999999999997
adhered;2.0;0.15835
adjourn;2.0;0.4044499999999999
adjusts;2.0;0.56355
admiral;2.0;2.0960499999999995
admired;2.0;1.8066999999999998
admirer;2.0;1.7004499999999996
admires;2.0;1.6323499999999995
adolphe;2.0;0.4431
adopted;2.0;0.6202500000000001
adoring;2.0;0.77275
adorned;2.0;0.86215
adrenal;2.0;0.91625
adriana;2.0;0.8742500000000002
adriano;2.0;1.5664500000000003
advance;2.0;0.7126500000000001
adverse;2.0;1.2146000000000003
adverts;2.0;1.5903500000000004
advices;2.0;1.6634999999999998
advised;2.0;2.11715
adviser;2.0;2.1932
advises;2.0;1.9726
advisor;2.0;2.36015
aerobic;2.0;1.254
aerosol;2.0;1.3569
affable;2.0;0.8391
affairs;2.0;0.7828999999999999
affects;2.0;0.7821499999999999
affleck;2.0;0.4553
affords;2.0;0.47745000000000004
affraid;2.0;1.1154499999999998
affront;2.0;1.1300000000000001
afghani;2.0;1.1474999999999995
afghans;2.0;1.0840999999999998
african;2.0;0.45335000000000003
against;2.0;0.014600000000000002
agarwal;2.0;0.003
ageless;2.0;0.5365500000000001
agendas;2.0;0.27835
agility;2.0;0.30789999999999995
agitate;2.0;0.33874999999999994
agonies;2.0;0.20834999999999998
agrippa;2.0;0.2162
aground;2.0;0.42474999999999996
aguilar;2.0;0.9771999999999998
aguirre;2.0;0.7905
agustin;2.0;0.3887
ahhhhhh;2.0;0.40445000000000003
ahjumma;2.0;0.9634499999999999
ahjussi;2.0;0.8215499999999999
aicohoi;2.0;1.2244499999999998
ailment;2.0;0.6241000000000001
aimless;2.0;1.4032
ainsley;2.0;1.3293000000000001
airbags;2.0;1.5851000000000002
airbase;2.0;1.6538
airfare;2.0;1.10285
airhead;2.0;1.23705
airlift;2.0;1.60915
airline;2.0;1.2971500000000002
airlock;2.0;1.4246999999999999
airport;2.0;0.9453999999999999
airship;2.0;0.9805499999999998
airtime;2.0;1.7337500000000001
airways;2.0;1.08035
akiyama;2.0;0.67325
alabama;2.0;2.1766500000000004
aladdin;2.0;1.4233
alaikum;2.0;1.3854
alameda;2.0;1.9551000000000003
alamein;2.0;1.8487500000000001
alarcon;2.0;2.45125
alarmed;2.0;1.8635499999999996
alaskan;2.0;1.75635
alaykum;2.0;1.58525
albania;2.0;0.5848500000000001
alberta;2.0;1.1336499999999998
alberti;2.0;1.4602999999999997
alberto;2.0;1.2136999999999998
alcazar;2.0;0.9357000000000001
alchemy;2.0;1.5677
alcmene;2.0;0.9356499999999996
alcohol;2.0;0.4894
aldrich;2.0;0.9302999999999999
aleikum;2.0;1.27285
aleksei;2.0;0.7084
alerted;2.0;0.5149500000000001
aleykum;2.0;1.3516
alfalfa;2.0;0.7048
alfonse;2.0;1.1513499999999999
alfonso;2.0;1.3285000000000005
alfredo;2.0;1.3142
algebra;2.0;0.9432500000000001
algeria;2.0;1.2982
algiers;2.0;0.42844999999999994
aliases;2.0;0.9406500000000003
aligned;2.0;0.9481000000000002
alimony;2.0;1.4084500000000002
alittle;2.0;1.66255
alleged;2.0;1.3441499999999997
alleges;2.0;1.6551499999999997
allegra;2.0;1.7714499999999997
allegro;2.0;1.4145999999999999
allenby;2.0;1.8073000000000001
allende;2.0;1.44605
allergy;2.0;1.22665
allison;2.0;0.95455
allowed;2.0;0.43970000000000004
allyson;2.0;0.8592000000000001
almanac;2.0;0.8998000000000002
almeida;2.0;0.8325000000000001
almonds;2.0;0.8185499999999999
already;2.0;0.5298499999999999
alright;2.0;0.58385
altered;2.0;0.36534999999999995
altmann;2.0;0.51415
alucard;2.0;0.5449
alumnus;2.0;0.9796500000000001
alvarez;2.0;0.7791000000000001
alyosha;2.0;0.46609999999999996
amadeus;2.0;0.5711999999999999
amalgam;2.0;0.4302499999999999
amamiya;2.0;0.40575
amantha;2.0;0.4088
amassed;2.0;0.7346000000000001
amateur;2.0;0.54935
amazing;2.0;0.7076999999999998
amazons;2.0;0.8628499999999999
ambient;2.0;1.3044499999999997
ambrose;2.0;0.59005
amended;2.0;0.37709999999999994
america;2.0;0.59035
amherst;2.0;0.1682
amiable;2.0;0.43149999999999994
amidala;2.0;0.9894999999999999
amitabh;2.0;1.10575
ammonia;2.0;0.8147500000000001
amnesia;2.0;1.0558999999999998
amnesty;2.0;1.1918999999999997
amongst;2.0;0.4828
amorous;2.0;0.8526999999999998
amounts;2.0;0.9972
amphora;2.0;1.1030000000000002
amplify;2.0;1.6086500000000001
amputee;2.0;1.6551500000000003
amulets;2.0;0.4977500000000001
amusing;2.0;0.95425
anagram;2.0;1.8009499999999998
anaheim;2.0;1.1975
analogy;2.0;2.377250000000001
analyse;2.0;2.6628500000000006
analyst;2.0;2.560400000000001
analyze;2.0;2.1396500000000005
anamika;2.0;1.4057
anarchy;2.0;1.07705
anasazi;2.0;2.4423500000000002
anatole;2.0;2.0498000000000003
anatoli;2.0;2.1889
anatoly;2.0;2.0643000000000002
anatomy;2.0;2.1961000000000004
anchors;2.0;1.1701000000000001
anchovy;2.0;1.0181
ancient;2.0;0.5213
andiamo;2.0;1.4115000000000002
andover;2.0;1.2846000000000004
andrade;2.0;2.1477999999999997
andreas;2.0;2.2979000000000003
andrews;2.0;2.4206
android;2.0;2.0600500000000004
andrzej;2.0;1.7858
anemone;2.0;0.21215
angeles;2.0;1.66555
angelic;2.0;1.21805
angelus;2.0;1.3812000000000002
angered;2.0;1.4980999999999998
anglais;2.0;1.4244
angling;2.0;1.2286000000000001
angrier;2.0;1.7270999999999996
angrily;2.0;2.0501
anguish;2.0;1.1203500000000002
angular;2.0;1.0899500000000004
animals;2.0;0.7234000000000002
animate;2.0;0.7368000000000001
aniston;2.0;1.05525
anklets;2.0;0.9858
annabel;2.0;1.3519999999999999
annette;2.0;1.05005
annexed;2.0;1.2184
annoyed;2.0;1.6956000000000002
annuity;2.0;0.8479000000000001
anomaly;2.0;0.8874000000000002
another;2.0;0.64665
anselmo;2.0;1.1291999999999998
answers;2.0;0.5001999999999999
antacid;2.0;2.1862000000000004
antares;2.0;1.61375
antenna;2.0;1.9248
anthill;2.0;1.92785
anthony;2.0;1.4547000000000003
anthrax;2.0;1.3787500000000004
antigua;2.0;1.8711000000000002
antioch;2.0;1.64465
antipas;2.0;1.76035
antique;2.0;2.1905
antlers;2.0;1.1954500000000001
antoine;2.0;2.15235
antonia;2.0;2.1515500000000003
antonin;2.0;2.21
antonio;2.0;1.9489999999999998
antwerp;2.0;1.8932000000000002
anushka;2.0;0.38
anxiety;2.0;1.23825
anxious;2.0;1.4308500000000002
anybody;2.0;0.8570500000000001
anymore;2.0;1.0305000000000002
anythin;2.0;0.53575
anytime;2.0;0.5410999999999999
anyways;2.0;0.7192500000000001
aoshima;2.0;0.84765
apaches;2.0;0.22519999999999998
aphasia;2.0;0.55195
aplenty;2.0;0.68115
apology;2.0;0.8041499999999999
apophis;2.0;0.8917499999999998
apostle;2.0;0.6610000000000001
apparel;2.0;0.9682999999999999
appeals;2.0;1.4013000000000002
appears;2.0;1.8575000000000004
appease;2.0;1.71615
appetit;2.0;1.2532
applaud;2.0;1.6642500000000002
appleby;2.0;1.6215499999999998
applied;2.0;1.6819
applies;2.0;1.8555499999999996
appoint;2.0;1.1511
approve;2.0;1.08505
apricot;2.0;1.2907
apropos;2.0;0.78765
aqualad;2.0;1.4114499999999999
aquaman;2.0;1.7512
aquatic;2.0;1.8610999999999998
aquinas;2.0;1.0352
arabian;2.0;1.0989499999999999
aragorn;2.0;1.7586
aramaic;2.0;1.57965
arastoo;2.0;1.64515
aravind;2.0;2.2145499999999996
arbiter;2.0;1.6779499999999998
arcades;2.0;1.7518000000000007
arcadia;2.0;2.0467
archaic;2.0;2.4659500000000003
archana;2.0;2.2344
archers;2.0;2.32595
archery;2.0;2.47155
archive;2.0;1.99035
archway;2.0;2.0452499999999993
arduous;2.0;1.2506499999999998
arguing;2.0;0.9027
argyris;2.0;1.2471
ariadne;2.0;1.432
arianna;2.0;1.3212000000000002
arigato;2.0;2.0770999999999997
