,frequency,target,Unnamed: 0,fixation_x,entropy_x,fixation_y,entropy_y,difference_entropy
0,203.55643969649017,הראשונה,2135,2.0,0.5359,6.0,1.8076000000000003,-1.2717000000000005
1,178.46635339690513,האחרונה,870,2.0,1.2094,6.0,1.5743000000000005,-0.3649000000000005
2,177.36322893355418,מתכוונת,4442,2.0,0.8939,6.0,1.1001,-0.20620000000000005
3,120.45639520460286,המכונית,1572,2.0,1.7289000000000003,6.0,4.2835,-2.5546
4,119.77293765665716,הזדמנות,1171,2.0,0.3265,6.0,2.9141999999999992,-2.587699999999999
5,101.03780750463726,ברצינות,677,2.0,1.20275,6.0,3.74325,-2.5405
6,91.0317491930465,לחלוטין,3256,2.0,0.9007000000000002,6.0,2.0834,-1.1827
7,90.480186961371,להתמודד,3196,2.0,3.6131,6.0,0.8168,2.7963000000000005
8,82.01490575348234,לאחרונה,3033,2.0,0.92375,6.0,1.7854500000000004,-0.8617000000000005
9,78.5316703556188,וסונכרן,2726,2.0,0.66115,6.0,0.52795,0.1332
10,70.28221784708138,להתראות,3223,2.0,2.5906,6.0,2.55635,0.03424999999999967
11,63.80735686654331,התוכנית,2313,2.0,1.7448,6.0,2.88425,-1.1394500000000003
12,63.64548534202986,העיניים,1910,2.0,2.5764500000000004,6.0,5.2522,-2.67575
13,59.58670674589625,במכונית,475,2.0,1.1233,6.0,3.4666,-2.3433
14,58.59149663222097,הצהריים,2031,2.0,0.5605,6.0,3.5930500000000003,-3.0325500000000005
15,56.40323343046504,כשהייתי,2966,2.0,2.47575,6.0,2.2701,0.20565000000000036
16,56.13344755627595,מתחילים,4429,2.0,2.28615,6.0,4.27055,-1.9844
17,52.97995044908797,במהירות,454,2.0,1.1596999999999995,6.0,4.380349999999999,-3.22065
18,52.63822167511514,הרגליים,2143,2.0,0.6748000000000001,6.0,4.3537,-3.6789
19,48.537476387441004,מעוניין,4155,2.0,1.36015,6.0,3.67895,-2.3188
20,44.68853124901004,להיראות,3127,2.0,1.9155,6.0,3.779299999999999,-1.8637999999999988
21,44.31682626679396,הקודמים,2077,2.0,1.6214999999999995,6.0,2.86875,-1.2472500000000004
22,43.351592361361895,הבחורים,975,2.0,2.262900000000001,6.0,5.6145,-3.3515999999999986
23,43.183725595199796,מאמינים,3577,2.0,1.1851000000000005,6.0,4.2056,-3.0204999999999997
24,39.56859488106604,שבועיים,4991,2.0,0.20035000000000008,6.0,3.1633,-2.96295
25,38.40551800122864,בינתיים,401,2.0,0.9147,6.0,5.16615,-4.25145
26,36.76881703114818,למכונית,3347,2.0,1.1772999999999998,6.0,3.4957000000000003,-2.3184000000000005
27,36.4990311569591,המפתחות,1665,2.0,1.6371500000000003,6.0,2.5702,-0.9330499999999996
28,35.11413033612178,באמצעות,247,2.0,1.2681,6.0,2.4197,-1.1516000000000002
29,34.97623977820292,משתמשים,4383,2.0,1.80995,6.0,2.50735,-0.6974000000000002
30,34.712449145662475,התקשרתי,2463,2.0,2.6354,6.0,2.0287,0.6067
31,34.39470133828422,פרופסור,4786,2.0,0.9859,6.0,0.5365,0.4494
32,34.12491546409513,השוטרים,2206,2.0,1.0207,6.0,3.60885,-2.58815
33,33.435462674500805,התמונות,2387,2.0,2.337,6.0,4.1018500000000016,-1.7648500000000018
34,32.740014643257815,שיכולתי,5222,2.0,2.39455,6.0,2.3552499999999994,0.039300000000000335
35,31.301156647582694,מכוניות,4017,2.0,2.4372,6.0,5.902499999999999,-3.4652999999999987
36,30.755589657555877,בשבילנו,691,2.0,1.6711000000000005,6.0,1.2283,0.4428000000000005
37,30.74959441590723,להסתובב,3133,2.0,1.3466999999999998,6.0,0.9302999999999996,0.4164000000000002
38,30.311941775556043,ורבותיי,2738,2.0,0.7241500000000001,6.0,1.8552500000000005,-1.1311000000000004
39,30.180046459285823,אמיתיים,148,2.0,1.32635,6.0,4.069,-2.7426500000000003
40,29.688436644096818,האמיתית,910,2.0,1.53655,6.0,2.36135,-0.8247999999999998
41,29.46661270309691,תוכניות,5480,2.0,1.5631500000000005,6.0,4.569349999999999,-3.006199999999999
42,29.45462221979961,בעיניים,572,2.0,1.88095,6.0,4.47635,-2.5954
43,27.93782608269208,השיניים,2227,2.0,1.01765,6.0,5.4982000000000015,-4.480550000000002
44,26.858682585935732,הגדולים,1019,2.0,1.2700999999999998,6.0,5.40045,-4.13035
45,26.77474920285469,לראשונה,3489,2.0,0.7918499999999999,6.0,1.5823500000000004,-0.7905000000000004
46,26.49297284536831,המוזיקה,1485,2.0,2.61455,6.0,2.6204,-0.005850000000000133
47,26.45100615382778,קיוויתי,4870,2.0,1.4338000000000002,6.0,2.85995,-1.4261499999999998
48,26.35508228744944,הנעליים,1802,2.0,0.79505,6.0,3.57745,-2.7824
49,26.07330592996306,רעיונות,4959,2.0,0.12625,6.0,5.27715,-5.1509
50,25.599681839720002,במועדון,462,2.0,2.4938,6.0,3.3125000000000013,-0.8187000000000015
51,25.599681839720002,להרוויח,3141,2.0,1.3468500000000003,6.0,1.7430499999999998,-0.39619999999999933
52,25.25795306574716,מתגעגעת,4411,2.0,0.6819,6.0,0.97385,-0.29195000000000004
53,25.174019682666106,אלכוהול,135,2.0,1.1942,6.0,0.6358500000000001,0.5583499999999998
54,25.090086299585057,מסוגלים,4100,2.0,1.1808999999999996,6.0,4.285000000000001,-3.1041000000000016
55,24.946200500017547,מרגישים,4291,2.0,2.0793500000000003,6.0,3.907749999999999,-1.8283999999999985
56,24.45459068482855,להזדיין,3115,2.0,1.6453,6.0,3.12415,-1.4788500000000002
