,frequency,target,Unnamed: 0,fixation_x,entropy_x,fixation_y,entropy_y,difference_entropy
0,1263.0844324824047,because,612,2.0,0.6210499999999999,6.0,0.02195,0.5990999999999999
1,916.9794540412728,nothing,4916,2.0,0.25335,6.0,2.4347,-2.18135
2,805.371321408159,thought,7331,2.0,0.7412000000000003,6.0,1.3825,-0.6412999999999998
3,589.3541923967873,believe,659,2.0,1.3544999999999998,6.0,0.2915500000000001,1.0629499999999998
4,581.2437020072515,someone,6765,2.0,0.90795,6.0,1.392,-0.4840499999999999
5,554.7901043730849,through,7341,2.0,0.43005,6.0,0.10489999999999997,0.32515000000000005
6,529.2497322373248,another,252,2.0,0.64665,6.0,3.8806,-3.23395
7,488.24628163162134,talking,7203,2.0,0.6922000000000001,6.0,4.336349999999999,-3.6441499999999984
8,475.3544569215355,getting,2997,2.0,1.4937999999999998,6.0,4.6211,-3.1273000000000004
9,472.56238224198137,looking,4217,2.0,0.89405,6.0,4.755999999999999,-3.8619499999999984
10,437.92531103295545,morning,4712,2.0,0.48375,6.0,4.11195,-3.6282
11,423.8601412665155,without,8022,2.0,0.528,6.0,0.7378999999999998,-0.20989999999999973
12,417.31972504329735,already,173,2.0,0.5298499999999999,6.0,0.3385499999999999,0.19130000000000005
13,388.47639593071887,brother,991,2.0,0.6435000000000002,6.0,2.7886500000000005,-2.14515
14,359.24756589053436,tonight,7405,2.0,1.0073500000000002,6.0,1.1695000000000002,-0.16215000000000002
15,341.6118341344233,problem,5554,2.0,1.74525,6.0,0.5044500000000001,1.2408
16,336.12499568907975,friends,2849,2.0,1.33005,6.0,1.2113,0.11874999999999993
17,335.11633064063494,fucking,2865,2.0,0.5293000000000002,6.0,4.43145,-3.90215
18,276.1159750796556,working,8042,2.0,1.29485,6.0,3.5771500000000005,-2.2823
19,269.55871658290124,exactly,2476,2.0,0.51735,6.0,1.22455,-0.7072
20,254.65517586710445,minutes,4625,2.0,2.5279,6.0,1.5291000000000003,0.9987999999999996
21,239.76473469739145,waiting,7809,2.0,1.3664999999999994,6.0,5.1376,-3.771100000000001
22,238.6007464596685,against,96,2.0,0.014600000000000004,6.0,0.91865,-0.90405
23,236.83043637464286,married,4415,2.0,2.53365,6.0,3.0357500000000006,-0.5021000000000004
24,233.2430321114357,husband,3544,2.0,0.6879000000000002,6.0,1.1102999999999998,-0.4223999999999997
25,219.66628827754502,started,6912,2.0,1.618,6.0,2.2914,-0.6733999999999998
26,219.35002780781002,between,715,2.0,0.4030499999999999,6.0,0.6728,-0.26975000000000005
27,214.13640846649787,anymore,275,2.0,1.0305000000000002,6.0,1.27695,-0.24644999999999986
28,206.48440218989154,trouble,7515,2.0,2.4843,6.0,0.8133000000000001,1.671
29,203.64928614463383,brought,992,2.0,1.44905,6.0,1.2574500000000002,0.19159999999999974
30,200.2976737109332,welcome,7908,2.0,0.3192500000000001,6.0,0.7974000000000001,-0.47815
31,196.73272581244086,telling,7256,2.0,2.04245,6.0,4.341099999999999,-2.298649999999999
32,194.77527935479102,playing,5400,2.0,0.8976000000000001,6.0,2.764299999999998,-1.8666999999999985
33,188.53989541895044,captain,1169,2.0,2.28515,6.0,2.35175,-0.06660000000000021
34,183.66499291208825,outside,5072,2.0,1.4080000000000001,6.0,0.90675,0.50125
35,180.40320593724724,country,1715,2.0,2.0199500000000006,6.0,0.5769500000000001,1.4430000000000005
36,174.0218556307597,feeling,2599,2.0,1.0187500000000005,6.0,4.95905,-3.9403
37,172.71751511356854,leaving,4086,2.0,1.7206499999999998,6.0,4.803549999999999,-3.082899999999998
38,169.66532087606672,shouldn,6536,2.0,1.86295,6.0,0.195,1.66795
39,169.58672359956452,promise,5572,2.0,2.449,6.0,0.7576,1.6913999999999998
40,167.08283893385186,running,6154,2.0,1.2988,6.0,4.255750000000001,-2.9569500000000013
41,164.47602926319576,anybody,274,2.0,0.8570500000000001,6.0,0.3637999999999999,0.4932500000000002
42,162.61027962813182,alright,174,2.0,0.58385,6.0,1.1899500000000005,-0.6061000000000005
43,160.96909364021695,parents,5153,2.0,2.6891999999999987,6.0,2.23675,0.4524499999999989
44,160.4862817988464,perfect,5263,2.0,2.3477500000000004,6.0,1.91705,0.4307000000000005
45,158.9012367227188,special,6809,2.0,1.3370500000000003,6.0,1.1864500000000002,0.15060000000000007
46,158.71597171382078,serious,6390,2.0,1.1840000000000002,6.0,2.3746500000000004,-1.1906500000000002
47,158.42029624507444,himself,3424,2.0,1.1665,6.0,1.6116999999999997,-0.4451999999999996
48,157.11034163670456,perhaps,5266,2.0,0.9862499999999998,6.0,0.20475,0.7814999999999999
49,153.98329285015302,company,1584,2.0,2.1891500000000006,6.0,1.0709,1.1182500000000006
50,147.46907571910225,control,1642,2.0,1.92485,6.0,0.26185,1.6629999999999998
51,145.58461244677588,happens,3280,2.0,0.65305,6.0,1.90395,-1.2509
52,141.3497163342887,finally,2655,2.0,0.95155,6.0,2.0563,-1.1047499999999997
53,140.1015167288848,evening,2466,2.0,0.3572500000000001,6.0,4.8794,-4.52215
54,139.3735562393764,meeting,4525,2.0,1.0772499999999998,6.0,4.4921500000000005,-3.4149000000000007
55,134.9459096630862,million,4606,2.0,1.8091500000000005,6.0,2.0314,-0.2222499999999996
56,132.93419365737532,careful,1185,2.0,1.15935,6.0,0.6517000000000001,0.50765
57,130.33486944162422,calling,1118,2.0,1.75885,6.0,5.3561999999999985,-3.59735
58,125.49178011810815,changed,1303,2.0,1.69175,6.0,2.8252,-1.13345
59,123.94229095277922,explain,2503,2.0,1.2436499999999997,6.0,1.1501000000000003,0.09354999999999936
60,120.34927259839328,picture,5325,2.0,0.8511,6.0,2.56375,-1.7126499999999998
61,119.27510981952996,darling,1898,2.0,1.3893,6.0,5.262100000000001,-3.872800000000001
62,114.6734264166992,goodbye,3076,2.0,0.7173,6.0,0.16525,0.55205
63,114.61728550491192,strange,7007,2.0,1.1697500000000007,6.0,1.6009500000000003,-0.4311999999999996
64,114.2654691243783,wedding,7893,2.0,1.16955,6.0,4.117750000000002,-2.9482000000000017
65,112.16018493235529,kidding,3903,2.0,1.13005,6.0,3.6445,-2.51445
66,112.09655856566305,general,2966,2.0,1.2831999999999997,6.0,2.6257000000000006,-1.342500000000001
67,111.7971403694642,missing,4640,2.0,2.3709000000000007,6.0,4.8714,-2.5005
68,110.50589939835676,worried,8047,2.0,1.4708,6.0,2.6648500000000004,-1.1940500000000005
69,110.40858848459213,officer,4975,2.0,0.9337,6.0,1.751,-0.8172999999999999
70,110.21583802078915,decided,1933,2.0,1.4289500000000006,6.0,1.8776000000000004,-0.44864999999999977
71,110.16156847272808,amazing,187,2.0,0.7076999999999998,6.0,3.917099999999999,-3.2093999999999987
72,109.05933523797115,mistake,4643,2.0,1.82005,6.0,0.5184,1.30165
73,108.5783947603268,forgive,2779,2.0,2.05975,6.0,1.0402999999999998,1.0194500000000004
74,107.28341106176683,michael,4573,2.0,1.2741999999999996,6.0,0.5334,0.7407999999999996
75,106.44316874868387,clothes,1506,2.0,1.07055,6.0,2.6029500000000003,-1.5324000000000004
76,103.54816906418644,totally,7434,2.0,1.1195,6.0,2.3471,-1.2276000000000002
