,epoch,f2mean_neg,f2mean_pos,f6mean_neg,f6mean_pos,f2error_neg,f2error_pos,f6error_neg,f6error_pos
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0
3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,30.0,0.04,0.07,0.07,0.03,0.02,0.03,0.03,0.03
7,35.0,0.15000000000000002,0.16,0.05,0.07,0.05,0.0,0.009999999999999997,0.010000000000000002
8,40.0,0.2,0.19,0.04,0.1,0.03999999999999999,0.010000000000000009,0.0,0.04000000000000001
9,45.0,0.18,0.19,0.09,0.09000000000000001,0.08,0.010000000000000009,0.03,0.05
10,50.0,0.16999999999999998,0.25,0.12,0.12,0.05,0.030000000000000013,0.04,0.06
11,55.0,0.16,0.24,0.12,0.11,0.06,0.06,0.0,0.05
12,60.0,0.14,0.2,0.18,0.1,0.06,0.03999999999999999,0.020000000000000004,0.04000000000000001
13,65.0,0.15000000000000002,0.24000000000000002,0.2,0.09,0.05,0.04000000000000001,0.03999999999999999,0.03
14,70.0,0.13,0.25,0.18,0.08,0.049999999999999996,0.030000000000000013,0.0,0.04
15,75.0,0.14,0.25,0.18,0.08,0.06,0.030000000000000013,0.020000000000000004,0.04
16,80.0,0.13,0.25,0.16999999999999998,0.09,0.03,0.030000000000000013,0.009999999999999995,0.03
17,85.0,0.12000000000000001,0.23,0.18,0.08,0.020000000000000004,0.05000000000000002,0.020000000000000004,0.020000000000000004
18,90.0,0.15,0.24000000000000002,0.2,0.08,0.03,0.04000000000000001,0.020000000000000004,0.020000000000000004
19,95.0,0.17,0.27,0.18,0.08,0.03,0.07,0.020000000000000004,0.020000000000000004
20,100.0,0.2,0.28,0.19,0.11,0.03999999999999999,0.04000000000000001,0.07,0.009999999999999995
21,105.0,0.23,0.32,0.18,0.12000000000000001,0.03,0.020000000000000018,0.06,0.020000000000000004
22,110.0,0.25,0.32999999999999996,0.2,0.16999999999999998,0.030000000000000013,0.03,0.03999999999999999,0.009999999999999995
23,115.0,0.28,0.35,0.18,0.2,0.04000000000000001,0.03,0.03999999999999999,0.020000000000000004
24,120.0,0.31000000000000005,0.35,0.17,0.25,0.03,0.03,0.03,0.030000000000000013
25,125.0,0.36,0.36,0.18,0.28,0.0,0.0,0.03999999999999999,0.01999999999999999
26,130.0,0.39,0.39,0.18,0.33999999999999997,0.010000000000000009,0.010000000000000009,0.020000000000000004,0.04000000000000001
27,135.0,0.4,0.37,0.19,0.38,0.01999999999999999,0.03,0.03,0.06
28,140.0,0.42000000000000004,0.42000000000000004,0.17,0.43,0.01999999999999999,0.01999999999999999,0.03,0.04999999999999999
29,145.0,0.43,0.38,0.18,0.48,0.010000000000000009,0.03999999999999998,0.03999999999999999,0.060000000000000026
30,150.0,0.43,0.41000000000000003,0.16999999999999998,0.5,0.010000000000000009,0.03,0.05,0.04000000000000001
31,155.0,0.45,0.41000000000000003,0.2,0.51,0.010000000000000009,0.03,0.0,0.030000000000000023
32,160.0,0.44,0.39,0.16999999999999998,0.5,0.020000000000000018,0.04999999999999999,0.05,0.020000000000000018
33,165.0,0.45999999999999996,0.41000000000000003,0.2,0.54,0.01999999999999999,0.05,0.0,0.020000000000000018
34,170.0,0.5,0.42000000000000004,0.19,0.53,0.020000000000000018,0.04000000000000001,0.03,0.010000000000000009
35,175.0,0.47,0.39,0.19,0.54,0.03,0.010000000000000009,0.010000000000000009,0.0
36,180.0,0.47,0.41000000000000003,0.2,0.55,0.03,0.05,0.020000000000000004,0.010000000000000009
37,185.0,0.48,0.39,0.17,0.5700000000000001,0.0,0.03,0.03,0.009999999999999953
38,190.0,0.5,0.39,0.19,0.56,0.0,0.04999999999999999,0.010000000000000009,0.019999999999999962
39,195.0,0.51,0.39,0.19,0.5700000000000001,0.010000000000000009,0.03,0.04999999999999999,0.009999999999999953
40,200.0,0.51,0.4,0.2,0.56,0.010000000000000009,0.06,0.020000000000000004,0.019999999999999962
